Time,Buoydep,Convdep,energy,minT
2019-08-24 15:00:00,1.19665277317171,7.45,227928135.793555,4.3212962962963
2019-08-24 16:00:00,1.19346032519306,7.45,228320432.651985,4.30925925925926
2019-08-24 17:00:00,1.24862261182175,7.45,226675890.165474,4.34259259259259
2019-08-24 18:00:00,1.3243880631911,7.45,225390864.433328,4.32777777777778
2019-08-24 19:00:00,1.39067008947181,7.45,224113980.215912,4.32962962962963
2019-08-24 20:00:00,1.46228126113847,7.45,222735118.930275,4.3287037037037
2019-08-24 21:00:00,1.52481996384713,7.45,221692888.317573,4.32777777777778
2019-08-24 22:00:00,1.58543048863036,7.45,221052698.479024,4.34351851851852
2019-08-24 23:00:00,1.64756779363147,7.45,220244610.003696,4.32314814814815
2019-08-25 00:00:00,1.69600700631617,7.45,219525653.162071,4.3212962962963
2019-08-25 01:00:00,1.73725469859581,7.45,218850045.89437,4.32777777777778
2019-08-25 02:00:00,1.7852483545817,7.45,218758409.511333,4.33518518518518
2019-08-25 03:00:00,1.83080341489127,7.45,218318605.203215,4.3287037037037
2019-08-25 04:00:00,1.86568228242743,7.45,217799853.09246,4.32222222222222
2019-08-25 05:00:00,1.89453947387651,7.45,216845047.160701,4.32962962962963
2019-08-25 06:00:00,1.9242955172822,7.45,216422620.379705,4.34259259259259
2019-08-25 07:00:00,1.87853952976077,7.45,216416678.283968,4.32777777777778
2019-08-25 08:00:00,1.77585310422345,7.45,217734151.239114,4.33611111111111
2019-08-25 09:00:00,1.67345704415696,7.45,218815212.516717,4.32777777777778
2019-08-25 10:00:00,1.64402970500968,7.45,218977062.666305,4.3212962962963
2019-08-25 11:00:00,1.64916351473684,7.45,219918023.182799,4.32222222222222
2019-08-25 12:00:00,1.56743875187876,7.45,220565886.738807,4.35
2019-08-25 13:00:00,1.51648870127833,7.45,221970694.331663,4.3212962962963
2019-08-25 14:00:00,1.4381977826518,7.45,222902465.620373,4.32777777777778
2019-08-25 15:00:00,1.39710223931197,7.45,224349229.114188,4.34259259259259
2019-08-25 16:00:00,1.37039578569143,7.45,225109025.952272,4.33611111111111
2019-08-25 17:00:00,1.40631832934738,7.45,223938163.666034,4.3212962962963
2019-08-25 18:00:00,1.46024283009046,7.45,223260562.035147,4.33518518518518
2019-08-25 19:00:00,1.52457663390095,7.45,222266891.009343,4.33518518518518
2019-08-25 20:00:00,1.57409504555253,7.45,221709466.71943,4.3287037037037
2019-08-25 21:00:00,1.61556379472521,7.45,220798289.354335,4.3287037037037
2019-08-25 22:00:00,1.66320290106505,7.45,220602918.226774,4.3212962962963
2019-08-25 23:00:00,1.70605095973926,7.45,220107742.169339,4.3212962962963
2019-08-26 00:00:00,1.73859508491697,7.45,219438207.906381,4.33518518518518
2019-08-26 01:00:00,1.78074755072939,7.45,219415926.014253,4.33518518518518
2019-08-26 02:00:00,1.80796435669455,7.45,218946970.003416,4.3287037037037
2019-08-26 03:00:00,1.83148665824179,7.45,218536309.896745,4.3287037037037
2019-08-26 04:00:00,1.85171891726873,7.45,218165732.060916,4.32777777777778
2019-08-26 05:00:00,1.86816364269268,7.45,217850092.03168,4.3287037037037
2019-08-26 06:00:00,1.89277930085345,7.45,217526240.55742,4.3212962962963
2019-08-26 07:00:00,1.84718547432124,7.45,217816044.961429,4.31481481481481
2019-08-26 08:00:00,1.77653285472508,7.45,218533113.739861,4.31481481481481
2019-08-26 09:00:00,1.6964039259456,7.45,219507427.309599,4.3212962962963
2019-08-26 10:00:00,1.71497505486825,7.45,219666979.618721,4.3287037037037
2019-08-26 11:00:00,1.65867146006539,7.45,220306146.42558,4.3287037037037
2019-08-26 12:00:00,1.61800319253529,7.45,221522882.311882,4.33518518518518
2019-08-26 13:00:00,1.634260478347,7.45,220142406.125491,4.3287037037037
2019-08-26 14:00:00,1.649682813534,7.45,221066979.105292,4.33518518518518
2019-08-26 15:00:00,1.63796913301931,7.45,220391858.458213,4.32962962962963
2019-08-26 16:00:00,1.66462259440282,7.45,220971688.944921,4.3287037037037
2019-08-26 17:00:00,1.69639213029833,7.45,220054891.956976,4.35
2019-08-26 18:00:00,1.73421399259722,7.45,219532264.241957,4.32222222222222
2019-08-26 19:00:00,1.76434857104912,7.45,219163055.820986,4.3212962962963
2019-08-26 20:00:00,1.79102882849958,7.45,219145780.391283,4.34259259259259
2019-08-26 21:00:00,1.82174310993171,7.45,219206571.264952,4.35
2019-08-26 22:00:00,1.83859844434926,7.45,218956409.545509,4.33518518518518
2019-08-26 23:00:00,1.8600219465963,7.45,218596318.984085,4.33518518518518
2019-08-27 00:00:00,1.87039969457432,7.45,218238642.68247,4.33611111111111
2019-08-27 01:00:00,1.89271996156251,7.45,218027507.248583,4.3287037037037
2019-08-27 02:00:00,1.89803728131781,7.45,217468411.260065,4.33611111111111
2019-08-27 03:00:00,1.91302478377159,7.45,217316930.513988,4.32222222222222
2019-08-27 04:00:00,1.91739968253766,7.45,216825162.663596,4.31481481481481
2019-08-27 05:00:00,1.92525688436748,7.45,216462416.809608,4.33518518518518
2019-08-27 06:00:00,1.9299074738904,7.45,216160228.257007,4.33518518518518
2019-08-27 07:00:00,1.90448394481687,7.45,216534475.118402,4.31481481481481
2019-08-27 08:00:00,1.80264463273856,7.45,217482680.474135,4.31481481481481
2019-08-27 09:00:00,1.6657512803481,7.45,219186257.606851,4.3212962962963
2019-08-27 10:00:00,1.56931923175617,7.45,220989902.113171,4.32777777777778
2019-08-27 11:00:00,1.46843691377695,7.45,223129745.157722,4.35
2019-08-27 12:00:00,1.6042347752364,7.45,221028658.731513,4.33518518518518
2019-08-27 13:00:00,1.56467915529193,7.45,221908563.498215,4.3287037037037
2019-08-27 14:00:00,1.45091557855939,7.45,223432656.440991,4.3287037037037
2019-08-27 15:00:00,1.37260023709828,7.45,225618527.719281,4.3212962962963
2019-08-27 16:00:00,1.35975400033121,7.45,225484810.494392,4.3287037037037
2019-08-27 17:00:00,1.50654145752808,7.45,223935816.05558,4.30833333333333
2019-08-27 18:00:00,1.56314505789623,7.45,222932120.60803,4.32777777777778
2019-08-27 19:00:00,1.63707497876966,7.45,221846757.817227,4.32777777777778
2019-08-27 20:00:00,1.70530100035853,7.45,220817401.498189,4.33518518518518
2019-08-27 21:00:00,1.77020025594239,7.45,220504236.245965,4.32777777777778
2019-08-27 22:00:00,1.82202041877909,7.45,219863098.12952,4.32777777777778
2019-08-27 23:00:00,1.85676128219983,7.45,219342710.591367,4.34259259259259
2019-08-28 00:00:00,1.88307066687607,7.45,218567489.155153,4.34259259259259
2019-08-28 01:00:00,1.90661092773257,7.45,217605700.116415,4.3287037037037
2019-08-28 02:00:00,1.92901362523648,7.45,217142882.38195,4.35
2019-08-28 03:00:00,1.93837391434508,7.45,216411724.869761,4.34259259259259
2019-08-28 04:00:00,1.95228683409497,7.45,215597900.003731,4.3287037037037
2019-08-28 05:00:00,1.97120795468047,7.45,215299477.180805,4.33518518518518
2019-08-28 06:00:00,1.9802857565607,7.45,214455663.308269,4.3287037037037
2019-08-28 07:00:00,1.9983077198663,7.45,214835808.547905,4.3212962962963
2019-08-28 08:00:00,2.01125001042741,7.45,214294335.124533,4.3287037037037
2019-08-28 09:00:00,1.98035972981388,7.45,214728761.376502,4.32777777777778
2019-08-28 10:00:00,1.95625622272629,7.45,214450408.597131,4.33518518518518
2019-08-28 11:00:00,1.97966401690042,7.45,214336360.876364,4.3287037037037
2019-08-28 12:00:00,1.95424286185016,7.45,214705653.081043,4.33518518518518
2019-08-28 13:00:00,1.95516944526087,7.45,214489956.339501,4.34259259259259
2019-08-28 14:00:00,1.97935227938109,7.45,214542468.354805,4.33611111111111
2019-08-28 15:00:00,1.88642559593721,7.45,215297745.582065,4.32777777777778
2019-08-28 16:00:00,1.80380916556639,7.45,216800340.846231,4.33518518518518
2019-08-28 17:00:00,1.87768779054519,7.45,215692639.285212,4.3212962962963
2019-08-28 18:00:00,1.9299825600618,7.45,215020333.963501,4.35092592592593
2019-08-28 19:00:00,1.99716525875462,7.45,214487999.855499,4.3212962962963
2019-08-28 20:00:00,2.02630792066739,7.45,213847665.682292,4.33518518518518
2019-08-28 21:00:00,2.0435831504842,7.45,213524834.561253,4.32962962962963
2019-08-28 22:00:00,2.06007175943511,7.45,212853481.112777,4.3287037037037
2019-08-28 23:00:00,2.08242570823346,7.45,212380105.38128,4.34259259259259
2019-08-29 00:00:00,2.10747411508175,7.45,212278590.483367,4.35092592592592
2019-08-29 01:00:00,2.10568092920996,7.45,210948722.932525,4.35
2019-08-29 02:00:00,2.11774933653889,7.45,210332260.205179,4.31481481481481
2019-08-29 03:00:00,2.1208664600906,7.45,209373187.370719,4.31481481481481
2019-08-29 04:00:00,2.13275321120853,7.45,208844069.61205,4.34351851851852
2019-08-29 05:00:00,2.13445748625013,7.45,208137792.904468,4.3212962962963
2019-08-29 06:00:00,2.13658870454546,7.45,207764258.594907,4.32777777777778
2019-08-29 07:00:00,2.07219344441684,7.45,207682045.133111,4.3212962962963
2019-08-29 08:00:00,2.03047622586442,7.45,207715285.384077,4.3287037037037
2019-08-29 09:00:00,2.12713313519035,7.45,206889341.373804,4.32777777777778
2019-08-29 10:00:00,2.08962349289765,7.45,207141090.048175,4.3287037037037
2019-08-29 11:00:00,2.00680462561179,7.45,207872839.924386,4.31481481481481
2019-08-29 12:00:00,1.87399064069433,7.45,209714687.779396,4.33611111111111
2019-08-29 13:00:00,1.72398046868047,7.45,211152265.590482,4.33518518518518
2019-08-29 14:00:00,1.57105709887435,7.45,213385535.377223,4.3212962962963
2019-08-29 15:00:00,1.51886293675588,7.45,214613574.309463,4.34259259259259
2019-08-29 16:00:00,1.52736754660279,7.45,214570710.534387,4.32222222222222
2019-08-29 17:00:00,1.58135349769883,7.45,213543182.532231,4.31481481481481
2019-08-29 18:00:00,1.68507838612005,7.45,212816743.455057,4.32777777777778
2019-08-29 19:00:00,1.74566760400179,7.45,211462482.978729,4.31481481481481
2019-08-29 20:00:00,1.82569434650686,7.45,211379805.001498,4.33518518518518
2019-08-29 21:00:00,1.88756599121761,7.45,211033223.3347,4.32777777777778
2019-08-29 22:00:00,1.94596888545388,7.45,210656421.126529,4.3287037037037
2019-08-29 23:00:00,1.98837925107759,7.45,210246547.706325,4.34259259259259
2019-08-30 00:00:00,2.0358266670919,7.45,209224778.977689,4.3287037037037
2019-08-30 01:00:00,2.07554723298262,7.45,208472425.020207,4.33518518518518
2019-08-30 02:00:00,2.1092934390333,7.45,208189851.96206,4.33611111111111
2019-08-30 03:00:00,2.13969091537726,7.45,207458231.596833,4.33703703703704
2019-08-30 04:00:00,2.14671327337092,7.45,206888937.348108,4.3287037037037
2019-08-30 05:00:00,2.15735612747459,7.45,205750191.09906,4.32777777777778
2019-08-30 06:00:00,2.16875130503815,7.45,204987187.197134,4.33518518518518
2019-08-30 07:00:00,2.10300861054094,7.45,204765481.162943,4.32222222222222
2019-08-30 08:00:00,1.98396726951774,7.45,205510408.465498,4.33611111111111
2019-08-30 09:00:00,1.89021054121578,7.45,206220597.755651,4.32222222222222
2019-08-30 10:00:00,1.88042478767655,7.45,206984430.899629,4.31481481481481
2019-08-30 11:00:00,1.9060286252012,7.45,207413466.995449,4.31481481481481
2019-08-30 12:00:00,1.78773599926439,7.45,208977741.618093,4.3212962962963
2019-08-30 13:00:00,1.57105138986275,7.45,211560867.196687,4.34259259259259
2019-08-30 14:00:00,1.37583595619598,7.45,215821518.822417,4.3212962962963
2019-08-30 15:00:00,1.29579494619785,7.45,217655446.579273,4.32962962962963
2019-08-30 16:00:00,1.29132357698835,7.45,217874537.182466,4.33518518518518
2019-08-30 17:00:00,1.37669620124411,7.45,215729484.203464,4.3287037037037
2019-08-30 18:00:00,1.44205412765969,7.45,214847548.185313,4.3287037037037
2019-08-30 19:00:00,1.48291091692804,7.45,214412059.102069,4.33611111111111
2019-08-30 20:00:00,1.55759137875084,7.45,213537388.219788,4.3287037037037
2019-08-30 21:00:00,1.63041103160594,7.45,212335370.517717,4.32777777777778
2019-08-30 22:00:00,1.71349236678952,7.45,212004196.890612,4.3212962962963
2019-08-30 23:00:00,1.78093354448574,7.45,211101633.387544,4.33611111111111
2019-08-31 00:00:00,1.85094524557692,7.45,210625086.924332,4.33518518518518
2019-08-31 01:00:00,1.91111692884945,7.45,209884141.368182,4.32777777777778
2019-08-31 02:00:00,1.96179412831099,7.45,209206531.329108,4.35
2019-08-31 03:00:00,2.01219738107096,7.45,208452113.717651,4.31481481481481
2019-08-31 04:00:00,2.04642921281829,7.45,207618466.700921,4.34259259259259
2019-08-31 05:00:00,2.08069816643671,7.45,207186892.414371,4.33055555555555
2019-08-31 06:00:00,2.10158026146477,7.45,206423412.514403,4.3212962962963
2019-08-31 07:00:00,2.08097325349042,7.45,206547252.055604,4.33611111111111
2019-08-31 08:00:00,1.99092317336333,7.45,206954535.87369,4.33518518518518
2019-08-31 09:00:00,1.91556021029158,7.45,207862710.709675,4.34259259259259
2019-08-31 10:00:00,1.83646036050584,7.45,208631087.90896,4.34259259259259
2019-08-31 11:00:00,1.77170127942093,7.45,209411642.072284,4.33518518518518
2019-08-31 12:00:00,1.6797764026924,7.45,210604060.968664,4.3212962962963
2019-08-31 13:00:00,1.57982213081225,7.45,212205826.6023,4.33518518518518
2019-08-31 14:00:00,1.43330516661367,7.45,214622261.100414,4.3212962962963
2019-08-31 15:00:00,1.31013239664679,7.45,216577442.631313,4.33611111111111
2019-08-31 16:00:00,1.34992217478128,7.45,216429395.711812,4.34259259259259
2019-08-31 17:00:00,1.40150731574442,7.45,214962791.105203,4.32777777777778
2019-08-31 18:00:00,1.4865871236349,7.45,214205582.65294,4.3212962962963
2019-08-31 19:00:00,1.55925305870732,7.45,212773920.898235,4.33518518518518
2019-08-31 20:00:00,1.64706752258411,7.45,212321868.349797,4.34259259259259
2019-08-31 21:00:00,1.70666843744118,7.45,210979166.901379,4.34259259259259
2019-08-31 22:00:00,1.79259387291204,7.45,210677401.39082,4.33611111111111
2019-08-31 23:00:00,1.85579676638609,7.45,209578830.383792,4.32777777777778
2019-09-01 00:00:00,1.9316056493487,7.45,209553545.337567,4.34351851851852
2019-09-01 01:00:00,1.9891307507107,7.45,209014012.033709,4.33518518518518
2019-09-01 02:00:00,2.0320783462531,7.45,208394732.577048,4.35
2019-09-01 03:00:00,2.06899877998765,7.45,207562445.5344,4.32962962962963
2019-09-01 04:00:00,2.09342509044621,7.45,207260776.53165,4.34259259259259
2019-09-01 05:00:00,2.10845000004322,7.45,206377290.352224,4.31481481481481
2019-09-01 06:00:00,2.12573491977225,7.45,206113919.391657,4.33518518518518
2019-09-01 07:00:00,2.10460744893465,7.45,206216800.365703,4.3287037037037
2019-09-01 08:00:00,2.07564940257054,7.45,206700704.930567,4.32777777777778
2019-09-01 09:00:00,1.95652595168578,7.45,207288074.321854,4.3212962962963
2019-09-01 10:00:00,1.86326187164996,7.45,208544537.483337,4.3287037037037
2019-09-01 11:00:00,1.7606287741357,7.45,209664516.038539,4.32962962962963
2019-09-01 12:00:00,1.70664678907678,7.45,210473551.921011,4.33611111111111
2019-09-01 13:00:00,1.61871512768216,7.45,211624968.255171,4.34259259259259
